date,cases_raw,deaths_raw,hosp_nice,hosp_combined,icu_daily,rt_rivm,rt_low,rt_up,prevalence_rivm,sewage_rna,radar_contact_rate,radar_infected_contact,radar_infectious_contact,coronamelder_positives,cases_sm7,deaths_sm7,hosp_sm7,radar_c_sm7,radar_z_sm7,radar_cI_sm7,radar_I_frac_sm7,radar_I_count_sm7,cm_positives_sm7,sewage_sm7,hosp_nice_old,hosp_combined_old,icu_daily_old,radar_contact_rate_old,radar_infected_contact_old,radar_infectious_contact_old,hosp_sm7_old,radar_c_sm7_old,radar_cI_sm7_old,radar_I_frac_sm7_old,hosp_adm,hosp_notif,icu_adm,icu_notif,icu_sm7,tests_total,tests_positive,prev_json_avg,prev_json_low,prev_json_up,positivity_rate
2020-03-28,1146.0,89.0,354,354,103,0.76,0.65,0.87,110702.0,,,,,,994.571428571429,106.4286,449.142857142857,,,,,,,,,,,,,,,,,,354,490,103,115,111.428571428571,,,157709.0,110702.0,204265.0,
2020-03-29,1092.0,125.0,298,298,92,0.76,0.65,0.88,104438.0,,,,,,1018.14285714286,114.1429,425.142857142857,,,,,,,28442177134064.5,,,,,,,,,,,298,320,92,87,105.142857142857,,,151000.0,104438.0,198460.0,
2020-03-30,873.0,90.0,498,498,127,0.75,0.64,0.86,98979.0,34621959326395.0,,,,,1029.0,126.8571,408.857142857143,,,,,,,31704493136097.8,,,,,,,,,,,498,450,127,122,103.142857142857,,,143943.0,98979.0,191084.0,
2020-03-31,834.0,172.0,359,359,113,0.71,0.59,0.84,93812.0,19111945862783.8,,,,,1008.0,130.8571,373.857142857143,,,,,,,31704493136097.8,,,,,,,,,,,359,771,113,109,97.7142857142857,,,136844.0,93812.0,182240.0,
2020-04-01,1008.0,134.0,344,344,76,0.69,0.59,0.79,89603.0,31592626213014.8,,,,,987.428571428572,143.4286,352.571428571429,,,,,,,31704493136097.8,,,,,,,,1.1263,,,344,423,76,77,92.1428571428571,,,129945.0,89603.0,173242.0,
2020-04-02,1083.0,164.0,389,389,96,0.69,0.58,0.81,84473.0,41491441142197.7,0.874182257958024,0.0,0.0029385946582113,,988.428571428572,140.5714,346.142857142857,,0.0089,,,90013.9,,34086184956528.3,,,,1.32584269662921,,,,1.0825,0.0056,0.00517321,389,473,96,86,89.7142857142857,,,122715.0,84473.0,163729.0,
2020-04-03,1020.0,142.0,375,375,77,0.72,0.59,0.85,79805.0,,0.933008878784366,0.0051772591614188,0.0041884079308886,,998.714285714286,142.1429,324.571428571429,,0.0083,,,91108.5,,36619306362959.4,,,,1.03620535103845,0.0109390905361674,0.006928090672906,,1.0122,0.0053,0.00523612,375,353,77,98,80.2857142857143,,,116522.0,79805.0,155334.0,
2020-04-04,1002.0,177.0,205,205,64,0.75,0.61,0.9,76393.0,,0.904939041991102,0.0045963334374252,0.0033129718070721,,991.285714285714,150.7143,305.571428571429,,0.0072,,,79618.0,,36714515912390.4,,,,1.01691128644552,0.0096433924379966,0.0061074818773978,,1.0053,0.0046,0.00457575,205,239,64,59,72.7142857142857,,,111007.0,76393.0,147540.0,
2020-04-05,1099.0,105.0,253,253,75,0.77,0.62,0.93,72002.0,43612952238250.2,0.894612973132264,0.0040871555585107,0.0032821473170136,,984.285714285714,152.7143,289.0,0.865368905346941,0.0068,0.0035552568836335,0.0041083714259505,74939.9,,36602993206604.1,,,,0.950882278510134,0.0061195849725078,0.0038757371492549,,0.9984,0.0043,0.00430689,253,197,75,72,70.2857142857143,,,105094.0,72002.0,140516.0,
2020-04-06,945.0,101.0,347,347,61,0.79,0.65,0.95,67509.0,47287566358550.5,0.681760548286885,0.0045772834886729,0.0036547598841719,,1002.14285714286,150.0,262.571428571429,0.875430100616793,0.0063,0.0035570539483825,0.0040632072690627,72948.3,,35385452015507.9,,,,0.731123771199878,0.006495281626226,0.0041136783632765,,0.9541,0.004,0.00419243,347,262,61,55,64.0,,,99129.0,67509.0,132751.0,
2020-04-07,782.0,232.0,226,226,60,0.81,0.65,0.97,63495.0,19587993609938.9,0.888511820807738,0.0040489040867305,0.0036301944936475,,1046.0,146.0,240.857142857143,0.880660091098664,0.0054,0.003496543898573,0.0039703671529056,61960.6,,32201264776890.2,,,,0.970929545723036,0.0028625173795698,0.0018129276737275,,0.9548,0.0034,0.00356096,226,333,60,73,60.1428571428572,,,93420.0,63495.0,125005.0,
2020-04-08,959.0,148.0,228,228,59,0.78,0.61,0.97,60535.0,31035012684083.2,0.88056681646821,0.0048242159852541,0.0038797220944294,,1088.71428571429,139.8571,231.571428571429,0.911966986763367,0.0047,0.0035076266939017,0.0038462211295066,53522.0,,32201264776890.2,,,,0.956801783668287,0.0045365868764128,0.0028731716883948,,0.9753,0.003,0.00307598,228,454,59,60,55.0,,,88544.0,60535.0,118798.0,
2020-04-09,1208.0,145.0,204,204,52,0.73,0.58,0.89,56767.0,35403735186716.5,0.944610624846983,0.0038713682038595,0.0029511741114543,,1099.0,138.2857,217.0,0.931563065055558,0.0042,0.0033559005183533,0.0036024405048231,47536.2,,29918927284618.2,,,,1.01590934027179,0.0033072618693083,0.0020945991838952,,0.9883,0.0027,0.00273196,204,352,52,88,49.0,,,83608.0,56767.0,112408.0,
2020-04-10,1327.0,114.0,223,223,50,0.7,0.56,0.84,52977.0,16280328583802.0,0.969618812157464,0.005520793914159,0.0037648375822223,,1101.0,136.0,192.714285714286,0.933733769538402,0.0042,0.0032995070563235,0.0035336700502485,45868.4,,26787083489689.8,,,,1.04116372944767,0.0049325588264251,0.0031239539234025,,0.9863,0.0026,0.00263611,223,254,50,56,46.7142857142857,,,78841.0,52977.0,106004.0,
2020-04-11,1301.0,134.0,140,140,28,0.69,0.53,0.87,50405.0,,1.12408731164403,0.0040200735715366,0.003390551374373,,1112.42857142857,120.2857,184.857142857143,0.895227532940192,0.0045,0.0031790094073741,0.0035510630430828,53939.1,,23836643036917.9,,,,1.16017470716696,0.0044073853484216,0.0027913440540004,,0.9355,0.0029,0.00309995,140,143,28,23,43.2857142857143,,,74668.0,50405.0,100375.0,
2020-04-12,1171.0,94.0,151,151,33,0.7,0.53,0.88,47886.0,,1.0317855211776,0.0040589602654086,0.0022200640881749,,1079.71428571429,125.5714,170.285714285714,0.886490517848684,0.0059,0.0031115136912079,0.0035099232632052,69645.2,,19886588591981.8,,,,1.04165278934221,0.003143213988343,0.0019907021926172,,0.9244,0.0037,0.0040026,151,113,33,35,38.2857142857143,,,70645.0,47886.0,95576.0,
2020-04-13,959.0,85.0,177,177,45,0.72,0.54,0.91,45329.0,31628347383908.4,0.696955479666794,0.0055486428589421,0.0032600056499631,,1059.85714285714,131.2857,159.142857142857,0.879430044551581,0.0081,0.0030668183036275,0.0034872794290207,97377.4,,14774297784492.2,,,,0.717723838346406,0.005929219937002,0.0037551726267679,,0.9113,0.0051,0.0055964,177,171,45,37,35.1428571428571,,,66594.0,45329.0,89956.0,
2020-04-14,862.0,122.0,171,171,36,0.74,0.54,0.96,42555.0,4835791346079.33,0.618968164620266,0.0039954487756047,0.0027867109510017,,1046.57142857143,135.5714,147.571428571429,0.873600404677238,0.0073,0.0029684754164565,0.0033979785272115,90574.8,,11629969290463.0,,,,0.615130990922994,0.0055018173873319,0.0034844843453102,,0.9029,0.0047,0.00520545,171,293,36,44,31.7142857142857,,,62787.0,42555.0,84384.0,
2020-04-15,730.0,185.0,126,126,24,0.76,0.56,0.98,40247.0,11284740459402.7,0.819407710827656,0.0052491074420566,0.0034072520812659,,1030.14285714286,137.0,138.714285714286,0.85781588731462,0.0067,0.0028989557278577,0.0033794614563888,84475.6,,11629969290463.0,,,,0.878715868327845,0.0141222799334623,0.0089441106245261,,0.8857,0.0043,0.00485492,126,311,24,45,30.4285714285714,,,59425.0,40247.0,79797.0,
2020-04-16,1069.0,185.0,126,126,30,0.77,0.56,1.0,37483.0,9842281149268.6,0.895187311767261,0.0046398863024389,0.0026383063983912,,1009.0,135.0,129.142857142857,0.834330076439241,0.0063,0.0028963901818971,0.0034715159667483,80630.2,,10729106628078.1,,,,0.924287692195584,0.0183390415118171,0.0116147262908175,,0.8632,0.004,0.00463392,126,138,30,34,28.5714285714286,,,55823.0,37483.0,75258.0,
2020-04-17,1234.0,144.0,142,142,26,0.77,0.56,1.0,34895.0,558686113656.0,0.928811333037064,0.0066132756803505,0.0030764373720259,,978.857142857143,132.1429,120.0,0.838493033429037,0.0054,0.0028251547779424,0.0033693240913271,68432.6,,6349740174657.52,,,,0.982866732580528,0.0,0.0,,0.8645,0.0034,0.00393291,142,147,26,25,25.8571428571429,,,52427.0,34895.0,71064.0,
2020-04-18,1186.0,144.0,78,78,19,0.75,0.53,1.0,32871.0,,1.01359569010569,0.0052310081164297,0.0029039135541812,,958.0,137.8571,111.571428571429,0.876769197643516,0.0046,0.0026988942223833,0.0030782265499713,55701.5,,6325394019650.23,,,,1.03920602204499,0.0,0.0,,0.9059,0.0029,0.00320124,78,99,19,18,24.0,,,49470.0,32871.0,67109.0,
